date,time,count,bin,Location (recode),Location-id (recode)
27,13:48:05,4,83,SIS B1 IS Lounge,SISB1
27,13:50:07,12,84,SIS B1 IS Lounge,SISB1
27,13:52:09,10,84,SIS B1 IS Lounge,SISB1
27,13:54:12,9,84,SIS B1 IS Lounge,SISB1
27,13:56:15,14,84,SIS B1 IS Lounge,SISB1
27,13:58:17,1,84,SIS B1 IS Lounge,SISB1
27,13:58:18,10,84,SIS B1 IS Lounge,SISB1
27,14:00:20,14,85,SIS B1 IS Lounge,SISB1
27,14:02:23,9,85,SIS B1 IS Lounge,SISB1
27,14:04:26,5,85,SIS B1 IS Lounge,SISB1
27,14:04:27,6,85,SIS B1 IS Lounge,SISB1
27,14:06:29,6,85,SIS B1 IS Lounge,SISB1
27,14:08:31,6,85,SIS B1 IS Lounge,SISB1
27,14:10:34,12,86,SIS B1 IS Lounge,SISB1
27,14:12:37,11,86,SIS B1 IS Lounge,SISB1
27,14:14:40,13,86,SIS B1 IS Lounge,SISB1
27,14:16:43,14,86,SIS B1 IS Lounge,SISB1
27,14:18:46,15,86,SIS B1 IS Lounge,SISB1
27,14:20:50,11,87,SIS B1 IS Lounge,SISB1
27,14:22:52,12,87,SIS B1 IS Lounge,SISB1
27,14:24:54,13,87,SIS B1 IS Lounge,SISB1
27,14:26:57,1,87,SIS B1 IS Lounge,SISB1
27,14:26:58,9,87,SIS B1 IS Lounge,SISB1
27,14:29:00,10,87,SIS B1 IS Lounge,SISB1
27,14:31:04,8,88,SIS B1 IS Lounge,SISB1
27,14:33:06,13,88,SIS B1 IS Lounge,SISB1
27,14:35:09,11,88,SIS B1 IS Lounge,SISB1
27,14:37:12,1,88,SIS B1 IS Lounge,SISB1
27,14:37:13,15,88,SIS B1 IS Lounge,SISB1
27,14:39:15,13,88,SIS B1 IS Lounge,SISB1
27,14:41:18,1,89,SIS B1 IS Lounge,SISB1
27,14:41:19,8,89,SIS B1 IS Lounge,SISB1
27,14:43:21,9,89,SIS B1 IS Lounge,SISB1
27,14:45:24,6,89,SIS B1 IS Lounge,SISB1
27,14:45:25,4,89,SIS B1 IS Lounge,SISB1
27,14:47:27,1,89,SIS B1 IS Lounge,SISB1
27,14:47:28,14,89,SIS B1 IS Lounge,SISB1
27,14:49:30,4,89,SIS B1 IS Lounge,SISB1
27,14:49:31,5,89,SIS B1 IS Lounge,SISB1
27,14:51:34,12,90,SIS B1 IS Lounge,SISB1
27,14:53:37,10,90,SIS B1 IS Lounge,SISB1
27,14:55:40,2,90,SIS B1 IS Lounge,SISB1
27,14:55:41,10,90,SIS B1 IS Lounge,SISB1
27,14:57:43,1,90,SIS B1 IS Lounge,SISB1
27,14:57:45,9,90,SIS B1 IS Lounge,SISB1
27,14:59:46,7,90,SIS B1 IS Lounge,SISB1
27,15:01:49,1,91,SIS B1 IS Lounge,SISB1
27,15:01:50,5,91,SIS B1 IS Lounge,SISB1
27,15:03:53,5,91,SIS B1 IS Lounge,SISB1
27,15:05:56,7,91,SIS B1 IS Lounge,SISB1
27,15:07:59,1,91,SIS B1 IS Lounge,SISB1
27,15:08:00,3,91,SIS B1 IS Lounge,SISB1
27,15:10:02,1,92,SIS B1 IS Lounge,SISB1
27,15:10:03,7,92,SIS B1 IS Lounge,SISB1
27,15:12:06,12,92,SIS B1 IS Lounge,SISB1
27,15:14:10,15,92,SIS B1 IS Lounge,SISB1
27,15:16:13,23,92,SIS B1 IS Lounge,SISB1
27,15:18:17,22,92,SIS B1 IS Lounge,SISB1
27,15:20:20,28,93,SIS B1 IS Lounge,SISB1
27,15:22:23,24,93,SIS B1 IS Lounge,SISB1
27,15:24:27,28,93,SIS B1 IS Lounge,SISB1
27,15:26:30,19,93,SIS B1 IS Lounge,SISB1
27,15:28:33,1,93,SIS B1 IS Lounge,SISB1
27,15:28:34,17,93,SIS B1 IS Lounge,SISB1
27,15:30:37,18,94,SIS B1 IS Lounge,SISB1
27,15:32:40,1,94,SIS B1 IS Lounge,SISB1
27,15:32:41,13,94,SIS B1 IS Lounge,SISB1
27,15:34:44,2,94,SIS B1 IS Lounge,SISB1
27,15:34:45,10,94,SIS B1 IS Lounge,SISB1
27,15:36:48,14,94,SIS B1 IS Lounge,SISB1
27,15:38:51,15,94,SIS B1 IS Lounge,SISB1
27,15:40:55,16,95,SIS B1 IS Lounge,SISB1
27,15:42:59,4,95,SIS B1 IS Lounge,SISB1
27,15:43:00,8,95,SIS B1 IS Lounge,SISB1
27,15:45:03,13,95,SIS B1 IS Lounge,SISB1
27,15:45:06,1,95,SIS B1 IS Lounge,SISB1
27,15:47:06,17,95,SIS B1 IS Lounge,SISB1
27,15:49:10,2,95,SIS B1 IS Lounge,SISB1
27,15:49:11,14,95,SIS B1 IS Lounge,SISB1
27,15:51:13,16,96,SIS B1 IS Lounge,SISB1
27,15:53:17,13,96,SIS B1 IS Lounge,SISB1
27,15:55:20,1,96,SIS B1 IS Lounge,SISB1
27,15:55:21,13,96,SIS B1 IS Lounge,SISB1
27,15:57:23,2,96,SIS B1 IS Lounge,SISB1
27,15:57:24,8,96,SIS B1 IS Lounge,SISB1
27,15:59:28,1,96,SIS B1 IS Lounge,SISB1
27,15:59:29,12,96,SIS B1 IS Lounge,SISB1
27,16:01:31,3,97,SIS B1 IS Lounge,SISB1
27,16:01:32,13,97,SIS B1 IS Lounge,SISB1
27,16:03:35,17,97,SIS B1 IS Lounge,SISB1
27,16:05:39,17,97,SIS B1 IS Lounge,SISB1
27,16:07:42,16,97,SIS B1 IS Lounge,SISB1
27,16:09:46,1,97,SIS B1 IS Lounge,SISB1
27,16:09:47,16,97,SIS B1 IS Lounge,SISB1
27,16:11:50,14,98,SIS B1 IS Lounge,SISB1
27,16:13:54,17,98,SIS B1 IS Lounge,SISB1
27,16:15:58,15,98,SIS B1 IS Lounge,SISB1
27,16:18:01,1,98,SIS B1 IS Lounge,SISB1
27,16:18:02,17,98,SIS B1 IS Lounge,SISB1
27,16:20:06,17,99,SIS B1 IS Lounge,SISB1
27,16:22:10,14,99,SIS B1 IS Lounge,SISB1
27,16:24:14,15,99,SIS B1 IS Lounge,SISB1
27,16:26:17,1,99,SIS B1 IS Lounge,SISB1
